conditionA,conditionB,conditionLabel,model,age,sex,risk
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,81,male,0.46301
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,82,male,0.46304
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,83,male,0.46224
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,84,male,0.45987
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,85,male,0.45881
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,86,male,0.45843
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,87,male,0.45705
HEART,HEART,(AA)  HEART-HEART,hospitalisationrisk,88,male,0.4565
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,15,male,0.10715
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,16,male,0.10688
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,17,male,0.11176
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,18,male,0.11357
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,19,male,0.13143
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,20,male,0.15417
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,21,male,0.17386
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,22,male,0.18646
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,23,male,0.20399
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,24,male,0.24343
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,25,male,0.2802
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,26,male,0.32188
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,27,male,0.36516
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,28,male,0.39888
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,29,male,0.40072
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,30,male,0.39854
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,31,male,0.39129
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,32,male,0.38348
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,33,male,0.3776
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,34,male,0.38001
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,35,male,0.38184
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,36,male,0.38782
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,37,male,0.39663
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,38,male,0.41165
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,39,male,0.42205
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,40,male,0.43449
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,41,male,0.44254
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,42,male,0.45053
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,43,male,0.45342
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,44,male,0.45381
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,45,male,0.45432
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,46,male,0.45589
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,47,male,0.45537
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,48,male,0.45464
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,49,male,0.45352
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,50,male,0.45384
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,51,male,0.45545
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,52,male,0.45693
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,53,male,0.45982
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,54,male,0.46534
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,55,male,0.469
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,56,male,0.47189
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,57,male,0.47386
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,58,male,0.47921
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,59,male,0.48272
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,60,male,0.48578
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,61,male,0.48795
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,62,male,0.49154
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,63,male,0.48877
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,64,male,0.49145
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,65,male,0.49396
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,66,male,0.4982
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,67,male,0.50367
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,68,male,0.50915
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,69,male,0.50569
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,70,male,0.5022
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,71,male,0.49678
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,72,male,0.49481
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,73,male,0.49416
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,74,male,0.49782
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,75,male,0.50402
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,76,male,0.51131
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,77,male,0.51285
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,78,male,0.51441
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,79,male,0.51508
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,80,male,0.51352
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,81,male,0.51253
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,82,male,0.51245
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,83,male,0.51153
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,84,male,0.50837
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,85,male,0.50561
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,86,male,0.50354
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,87,male,0.50119
HEART,CKD,(AB)  HEART-CKD,hospitalisationrisk,88,male,0.49904
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,15,male,0.063296
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,16,male,0.063903
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,17,male,0.066506
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,18,male,0.072217
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,19,male,0.080406
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,20,male,0.089479
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,21,male,0.099951
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,22,male,0.11119
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,23,male,0.12164
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,24,male,0.13276
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,25,male,0.14552
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,26,male,0.15888
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,27,male,0.16881
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,28,male,0.17623
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,29,male,0.17921
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,30,male,0.17767
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,31,male,0.17356
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,32,male,0.17055
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,33,male,0.16854
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,34,male,0.16891
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,35,male,0.17202
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,36,male,0.17763
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,37,male,0.18406
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,38,male,0.19166
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,39,male,0.19978
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,40,male,0.20885
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,41,male,0.21811
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,42,male,0.22776
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,43,male,0.23756
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,44,male,0.24786
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,45,male,0.25686
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,46,male,0.26386
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,47,male,0.26955
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,48,male,0.27458
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,49,male,0.27883
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,50,male,0.28374
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,51,male,0.29047
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,52,male,0.29982
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,53,male,0.31029
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,54,male,0.32175
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,55,male,0.33349
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,56,male,0.34539
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,57,male,0.35509
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,58,male,0.36327
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,59,male,0.37041
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,60,male,0.37686
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,61,male,0.38134
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,62,male,0.38673
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,63,male,0.39311
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,64,male,0.40006
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,65,male,0.40779
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,66,male,0.41695
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,67,male,0.42377
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,68,male,0.42841
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,69,male,0.43076
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,70,male,0.43138
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,71,male,0.43083
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,72,male,0.43226
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,73,male,0.43594
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,74,male,0.44215
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,75,male,0.44882
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,76,male,0.45534
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,77,male,0.46056
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,78,male,0.46344
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,79,male,0.46417
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,80,male,0.46422
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,81,male,0.46366
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,82,male,0.46243
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,83,male,0.46139
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,84,male,0.46048
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,85,male,0.45928
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,86,male,0.45813
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,87,male,0.4577
HEART,HYP,(AC)  HEART-HYP,hospitalisationrisk,88,male,0.45733
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,15,male,0.18091
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,16,male,0.18023
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,17,male,0.18286
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,18,male,0.17961
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,19,male,0.19898
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,20,male,0.22
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,21,male,0.23587
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,22,male,0.24486
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,23,male,0.25136
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,24,male,0.2693
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,25,male,0.28611
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,26,male,0.31111
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,27,male,0.33703
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,28,male,0.36124
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,29,male,0.36406
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,30,male,0.36409
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,31,male,0.35619
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,32,male,0.35023
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,33,male,0.34509
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,34,male,0.34566
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,35,male,0.34586
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,36,male,0.34975
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,37,male,0.35498
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,38,male,0.36312
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,39,male,0.3681
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,40,male,0.37395
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,41,male,0.37882
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,42,male,0.38587
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,43,male,0.39401
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,44,male,0.39934
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,45,male,0.40529
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,46,male,0.4116
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,47,male,0.415
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,48,male,0.41508
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,49,male,0.4169
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,50,male,0.41915
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,51,male,0.42147
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,52,male,0.42464
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,53,male,0.43113
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,54,male,0.4378
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,55,male,0.44405
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,56,male,0.44931
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,57,male,0.45517
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,58,male,0.45837
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,59,male,0.45956
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,60,male,0.46031
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,61,male,0.46264
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,62,male,0.46386
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,63,male,0.46529
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,64,male,0.47185
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,65,male,0.47841
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,66,male,0.48424
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,67,male,0.49042
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,68,male,0.49569
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,69,male,0.49235
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,70,male,0.48987
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,71,male,0.48553
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,72,male,0.48292
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,73,male,0.48202
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,74,male,0.48465
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,75,male,0.48669
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,76,male,0.48739
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,77,male,0.48465
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,78,male,0.48072
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,79,male,0.47668
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,80,male,0.47247
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,81,male,0.47118
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,82,male,0.4712
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,83,male,0.47058
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,84,male,0.46936
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,85,male,0.46945
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,86,male,0.47021
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,87,male,0.46973
HEART,DM2,(AD)  HEART-DM2,hospitalisationrisk,88,male,0.4704
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,15,male,0.11093
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,16,male,0.12202
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,17,male,0.13963
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,18,male,0.15874
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,19,male,0.20554
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,20,male,0.24947
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,21,male,0.28182
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,22,male,0.30033
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,23,male,0.31513
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,24,male,0.33578
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,25,male,0.35873
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,26,male,0.38676
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,27,male,0.41217
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,28,male,0.43538
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,29,male,0.43066
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,30,male,0.42374
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,31,male,0.41282
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,32,male,0.40589
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,33,male,0.40088
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,34,male,0.38973
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,35,male,0.37809
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,36,male,0.36793
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,37,male,0.36099
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,38,male,0.35806
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,39,male,0.36079
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,40,male,0.36526
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,41,male,0.36907
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,42,male,0.3725
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,43,male,0.37435
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,44,male,0.37792
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,45,male,0.38181
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,46,male,0.38589
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,47,male,0.3883
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,48,male,0.38922
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,49,male,0.39128
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,50,male,0.3969
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,51,male,0.4022
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,52,male,0.4097
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,53,male,0.42011
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,54,male,0.43607
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,55,male,0.44761
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,56,male,0.45902
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,57,male,0.46783
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,58,male,0.47709
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,59,male,0.47933
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,60,male,0.48157
HEART,OBESITY,(AE)  HEART-OBESITY,hospitalisationrisk,61,male,0.4854
